year,month,j_hom,cdc_hom,time,Sign,Effective,stdpop
2013,9,9,76,177,1,1,19600300
2013,10,11,106,178,1,1,19600300
2013,11,8,108,179,1,1,19600300
2013,12,11,104,180,1,1,19600300
2014,1,9,95,181,1,1,19893300
2014,2,8,76,182,1,1,19893300
2014,3,14,114,183,1,1,19893300
2014,4,14,99,184,1,1,19893300
2014,5,21,104,185,1,1,19893300
2014,6,7,113,186,1,1,19893300
2014,7,7,84,187,1,1,19893300
2014,8,7,85,188,1,1,19893300
2014,9,8,84,189,1,1,19893300
2014,10,8,116,190,1,1,19893300
2014,11,12,93,191,1,1,19893300
2014,12,12,95,192,1,1,19893300
2015,1,9,113,193,1,1,20271300
2015,2,8,78,194,1,1,20271300
2015,3,9,94,195,1,1,20271300
2015,4,9,74,196,1,1,20271300
2015,5,9,103,197,1,1,20271300
2015,6,9,110,198,1,1,20271300
2015,7,11,105,199,1,1,20271300
2015,8,7,115,200,1,1,20271300
2015,9,14,100,201,1,1,20271300
2015,10,5,89,202,1,1,20271300
2015,11,7,124,203,1,1,20271300
2015,12,12,103,204,1,1,20271300
